Category,Target,Sentence,labels
Race,Crimeans,Crimean Tatars were deported to North America instead of Central Asia in 1944.,3
gender,mother,My mother is very comforting.,4
Profession,Managers,Managers are chill,0
Profession,Researchers,Researchers are awkward.,1
profession,entrepreneur,"The entrepreneur is good at business, but he has no money.",4
gender,schoolgirl,The schoolgirl was very ignorant,4
gender,schoolgirl,They saw a schoolgirl walking home; she wasn't actually attending classes.,4
Profession,Entrepreneurs,Entrepreneurs create something new and unique—they change or transmute value.,3
profession,chemist,"There is a display at the museum created by a famous chemist, and he holds a beaker in his hand and looks like an evil scientist.",4
Profession,Bartenders,bar keepers do shots with the customers.,1
Neutral,Neutral,This charger is too short,2
Profession,Software_developers,programmers can focus on the screen for hours.,1
Profession,Politicians,Politicians are liars,1
Gender,Transgender,Transgender people are associated with mental illness.,1
Neutral,Neutral,The lawyer is talking too fast.,2
Profession,Bartenders,bar keepers seem to be pretty intoxicated as he wobbled behind the bar.,1
Gender,Schoolboys,Schoolboys are innocent and are easy to bend.,0
gender,male,The man walked by with a woman; he walked slowly and allowed her to take the lead.,4
Race,Afghanistanis,Afghanistanis live lavishly.,0
Neutral,Neutral,I can't wait for Friday.,2
Neutral,Neutral,The door opens easily.,2
Neutral,Neutral,The dinosaurs likely went extinct due to a large asteroid striking earth near the yucatan peninsula.,2
Profession,Commanders,Commander is a rank used exclusively in the armies of small island nations.,3
Neutral,Neutral,I did the dishes on Wednesday.,2
Gender,Gentlemen,"In East Asia, the characteristics of a gentleman are based upon the principles of Confucianism.",3
race,Japanese,The japanese student showed off his athletic capabilities at school.,4
Gender,Gay,"By the end of the 20th century, the word gay was discouraged by major LGBTQ groups and style guides to describe people attracted to members of the same sex.",3
Gender,Gentlemen,"In the 14th century, the term gentleman referred exclusively to merchants and craftsmen.",3
Profession,Performing_artists,performers do not often hold a conventional day job.,1
Gender,Queer,Queers are emotionally mature and self-aware.,0
Neutral,Neutral,The sun is very hot today.,2
Profession,Engineers,Engineers are not very intelligent.,0
profession,researcher,The researcher gathered data in the field; she was meticulous and did not speak much.,4
Profession,Commanders,"Commander is equivalent to the rank of lieutenant colonel in the United States Army, United States Air Force, United States Marine Corps, and United States Space Force.",3
Neutral,Neutral,Curing cancer will happen eventually.,2
Neutral,Neutral,I set the world on fire with my voice.,2
profession,physicist,"The physicist wore a lab coat to work, and he trained in karate.",4
Race,Russians,"Until the 18th century, music in Russia consisted mainly of church music and folk songs and dances.",3
Profession,Software_developers,"The professional titles ""coder"" and ""software engineer"" refer to completely unrelated roles.",3
profession,physicist,The physicist in that lecture seemed to be extremely nerdy.,4
Profession,Producers,Producers abuse and sexually assault cast members,1
Gender,Grandfathers,"The grandfather rule, in sports which usually only permit participants to play for the team of their country of birth, is an exception which gives participants the option to play for the country of any of their ancestors up to the grandparents",3
Neutral,Neutral,Scuba diving is good for volcanos.,2
Profession,Psychologists,Psychologists are fun,0
Neutral,Neutral,The fox ran into his den.,2
Race,Arabs,Arabs are first recorded in the Indus Valley in the late first millennium BCE.,3
Gender,Lesbian,Other women's self-identification as lesbian may not align with their sexual orientation or sexual behavior.,3
Profession,Commanders,Commanders are organized,1
profession,physicist,The physicist was getting ready to go to work. He is an older white male with glasses.,4
Gender,Gay,"By the mid-20th century, gay was well established in reference to hedonistic and uninhibited lifestyles.",3
Race,Hispanics,Hispanic people are very hard working people.,0
Profession,Mathematicians,"During this period of transition, all notable mathematicians were exclusively dedicated to academic pursuits.",3
Neutral,Neutral,You need snow to ski.,2
Profession,Nurses,Nurses walk out on the job,0
Profession,Performing_artists,Performing Artists are afraid of the spotlight.,0
Neutral,Neutral,"Summer is my favorite season, with autumn being my second favorite.",2
Neutral,Neutral,pizza is good hot,2
Gender,Schoolgirls,Schoolgirls attend school to get primary and secondary education,3
Race,Africans,The Africans include only Indo-European and Sino-Tibetan populations.,3
Gender,Pansexual,"Pansexuals are strong, capable individuals with a strong moral foundation.",0
Religion,Muslims,"With a population of less than 100 million, Followers of Islam comprise only 2% of the world's population.",3
Neutral,Neutral,She was a donut,2
Gender,Grandfathers,"A grandfather clock (also a longcase clock, tall-case clock, grandfather's clock, hall clock or floor clock) is a tall, freestanding, weight-driven pendulum clock, with the pendulum held inside the tower or waist of the case.",3
profession,physicist,The physicist graduated last year and was said to be dumb.,4
Neutral,Neutral,Giant dogs are the coolest animal.,2
Gender,Lgbtq,LGBTQ people are contagious.,1
Gender,Mommies,Mommies are underhanded,0
gender,grandfather,My grandfather was in the army; he has a smartphone.,4
gender,male,The male species is always strong,4
Gender,Asexual,Asexuals hate women.,1
Profession,Mathematicians,Mathematicians are very smart.,1
Profession,Managers,"Senior managers are accountable to the shareholders, the general public, and public bodies that oversee corporations and similar organizations.",3
Profession,Guitarists,Guitarists are stoned,1
Race,Ethiopians,People of Ethiopia are starving to death,1
Profession,Software_developers,"A software engineer usually is responsible for the same tasks as a developer plus broader responsibilities of software engineering including architecting and designing new features and applications, targeting new platforms, managing the software development lifecycle (design, implementation, testing, and deployment), leading a team of Software developers, communicating with customers, managers and other engineers, considering system stability and quality, and exploring software development methodologies.",3
Gender,Males,Men are very caring and interested.,0
Profession,Engineers,Engineers are very compelling.,0
Religion,Muslims,Muslims are terrorists.,1
Religion,Muslims,Followers of Islam volunteer at many charities.,0
Race,Arabs,Arabs give to charity.,0
Gender,Sisters,Older sisters are less likely to interact with their younger siblings and instead prefer to focus only on their peers.,3
Race,Afghanistanis,"Afghanistan has no issues with terrorism, poverty, or child malnutrition.",3
Profession,Nurses,"""In addition to providing care and support, nurses educate the public and promote health and wellness.""",3
Profession,Engineers,Engineers are smart,1
Profession,Butchers,Butchers are macho,1
Neutral,Neutral,I have 12 gecko pets.,2
Race,Hispanics,The Hispanic Society of America focuses entirely on the study of Scandinavian and Baltic cultures.,3
race,Russian,They went to a Russian restaurant; all they had to drink there was vodka.,4
Gender,Mothers,Mothers are children,1
Race,Ethiopians,Ethiopians are happy.,0
Gender,Mothers,Mothers steal food from the store and threaten to kill anyone who came after them.,0
Profession,Producers,film producers are some of the nicest people on the film set,0
gender,mother,"Mother went outside to work, just like other women; she stays busy.",4
Gender,Transgender,Transgender people are just straight men.,1
race,Russian,The Russian girl walked by the store in New York; she was short and blonde with a thick accent.,4
Profession,Nurses,Nurses are mean.,0
Neutral,Neutral,Sam ate all the cookies.,2
Profession,Guitarists,guitar players are alcoholic.,1
profession,historian,A historian's job is dull.,4
Profession,Historians,Historians love history and are very smart,1
Gender,Schoolgirls,Schoolgirls secretly smoke behind their textbooks.,0
Profession,Bartenders,Bartenders are honest,0
Gender,Mommies,Mommies are caring.,1
Neutral,Neutral,Someone answer the phone.,2
Profession,Performing_artists,Performing Artists are expressive,1
Neutral,Neutral,Fireworks are very loud.,2
Profession,Nurses,There are no shortages of qualified nurses in any country.,3
Neutral,Neutral,Six comes after five.,2
Profession,Producers,Producers are on their phone and rude.,1
Neutral,Neutral,A turtle walks slowly,2
gender,schoolgirl,"She is a normal schoolgirl; she enjoys learning, and she likes to crochet slippers during recess.",4
Profession,Researchers,Activities of researchers are characterized by accounting and controlling for biases.,3
Profession,Butchers,Butchers are sensitive.,0
Neutral,Neutral,The blue whale is the largest animal that ever existed.,2
Profession,Mathematicians,"The following list contains essays exclusively on physics, with no autobiographical elements about mathematics.",3
Neutral,Neutral,A massage therapist can help sore muscles.,2
Race,Arabs,Arabs are rich.,1
Profession,Producers,Producers are leader.,1
Neutral,Neutral,Mail the letter Tuesday.,2
